"","Regional sea","P","EC","count","Smean","Smedian"
"238","Mediteranean Sea",8,14,6,2,2
"239","Mediteranean Sea",8,15,6,0.5,0.5
"240","Mediteranean Sea",8,16,6,2.5,2.5
"241","Mediteranean Sea",8,17,6,2.5,2.5
"242","Mediteranean Sea",8,18,6,2,2
"243","Mediteranean Sea",8,19,6,1,1
"244","Mediteranean Sea",8,20,6,1,1
"245","Mediteranean Sea",8,21,6,1,1
"246","Mediteranean Sea",8,22,6,2,2
"247","Mediteranean Sea",8,23,6,1,1
"248","Mediteranean Sea",8,24,6,1,1
"249","Mediteranean Sea",8,25,6,3,3
"250","Mediteranean Sea",8,26,6,3,3
"251","Mediteranean Sea",8,27,6,1,1
"252","Mediteranean Sea",8,28,6,1,1
"253","Mediteranean Sea",8,29,6,1,1
"254","Mediteranean Sea",8,30,6,1.5,1.5
"255","Mediteranean Sea",8,31,6,1,1
"256","Mediteranean Sea",8,32,6,1,1
"257","Mediteranean Sea",9,1,6,2.5,2.5
"258","Mediteranean Sea",9,2,6,2.5,2.5
"259","Mediteranean Sea",9,3,6,2.5,2.5
"260","Mediteranean Sea",9,4,6,2.5,2.5
"261","Mediteranean Sea",9,5,6,2.5,2.5
"262","Mediteranean Sea",9,6,6,2.5,2.5
"263","Mediteranean Sea",9,7,6,2.5,2.5
"264","Mediteranean Sea",9,8,6,2.5,2.5
"265","Mediteranean Sea",9,9,6,2.5,2.5
"266","Mediteranean Sea",9,10,6,2.5,2.5
"267","Mediteranean Sea",9,11,6,2.5,2.5
"268","Mediteranean Sea",9,12,6,2.5,2.5
"269","Mediteranean Sea",9,13,6,2.5,2.5
"270","Mediteranean Sea",9,14,6,1.5,1.5
"271","Mediteranean Sea",9,15,6,1.5,1.5
"272","Mediteranean Sea",9,16,6,1.5,1.5
"273","Mediteranean Sea",9,17,6,1.5,1.5
"274","Mediteranean Sea",9,18,6,2.5,2.5
"275","Mediteranean Sea",9,19,6,2.5,2.5
"276","Mediteranean Sea",9,20,6,2.5,2.5
"277","Mediteranean Sea",9,21,6,2.5,2.5
"278","Mediteranean Sea",9,22,6,3,3
"279","Mediteranean Sea",9,23,6,2.5,2.5
"280","Mediteranean Sea",9,24,6,2.5,2.5
"281","Mediteranean Sea",9,25,6,2,2
"282","Mediteranean Sea",9,26,6,2,2
"283","Mediteranean Sea",9,27,6,2,2
"284","Mediteranean Sea",9,28,6,2,2
"285","Mediteranean Sea",9,29,6,2,2
"286","Mediteranean Sea",9,30,6,2,2
"287","Mediteranean Sea",9,31,6,2,2
"288","Mediteranean Sea",9,32,6,2,2
